GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core-service,com.edium.service.core.security,CustomPermissionEvaluator,130,0,20,0,22,0,16,0,6,0
core-service,com.edium.service.core.security,CustomPermissionEvaluator.new Object() {...},12,0,0,0,1,0,1,0,1,0
core-service,com.edium.service.core.security,OrganizationPermission,86,0,20,0,17,0,15,0,5,0
core-service,com.edium.service.core.security,PermissionType,34,0,0,0,4,0,1,0,1,0
core-service,com.edium.service.core.security,PermissionObject,14,0,0,0,2,0,1,0,1,0
core-service,com.edium.service.core,CoreServiceApplication,51,7,2,0,14,3,3,2,2,2
core-service,com.edium.service.core.exception,PermissionNotDefinedException,4,0,0,0,2,0,1,0,1,0
core-service,com.edium.service.core.controller,AuthController,102,3,4,0,14,1,4,1,2,1
core-service,com.edium.service.core.controller,UserController,30,7,4,0,5,2,5,2,3,2
core-service,com.edium.service.core.controller,GroupController,235,3,4,0,38,1,14,1,12,1
core-service,com.edium.service.core.controller,NoteController,81,3,0,0,14,1,9,1,9,1
core-service,com.edium.service.core.controller,OrganizationController,92,3,0,0,16,1,9,1,9,1
core-service,com.edium.service.core.model,Organization,20,3,0,0,9,2,5,1,5,1
core-service,com.edium.service.core.model,Note,28,3,0,0,12,1,8,1,8,1
core-service,com.edium.service.core.model,Group,42,7,0,0,18,3,12,1,12,1
core-service,com.edium.service.core.payload,GroupRequest,24,0,0,0,10,0,7,0,7,0
core-service,com.edium.service.core.payload,SignUpRequest,31,0,0,0,13,0,9,0,9,0
core-service,com.edium.service.core.payload,LoginRequest,17,0,0,0,7,0,5,0,5,0
core-service,com.edium.service.core.config,ResourceServerConfig,6,111,0,0,2,30,0,8,0,8
core-service,com.edium.service.core.config,CustomAccessTokenConverter,75,3,2,0,14,1,4,1,3,1
core-service,com.edium.service.core.config,MethodSecurityConfig,0,13,0,0,0,4,0,2,0,2
